id,name,slot,icon_path,damage_min,damage_max,Health_min,Health_max,defense_min,defense_max,movement_speed_min,movement_speed_max,attack_speed_min,attack_speed_max
1,rings_type10_tier5,Ring,res://assets/items/equipment/equipable/rings_type10_tier5.png,5.96,14.89,22.34,53.62,5.96,17.87,2.98,8.94,0.0,0.0
2,rings_type11_tier5,Ring,res://assets/items/equipment/equipable/rings_type11_tier5.png,8.04,20.11,30.16,72.38,8.04,24.13,4.02,12.06,0.0,0.0
3,rings_type12_tier5,Ring,res://assets/items/equipment/equipable/rings_type12_tier5.png,10.86,27.14,40.72,97.72,10.86,32.57,5.43,16.29,0.0,0.0
4,rings_type13_tier5,Ring,res://assets/items/equipment/equipable/rings_type13_tier5.png,14.66,36.64,54.97,131.92,14.66,43.97,7.33,21.99,0.0,0.0
5,rings_type14_tier5,Ring,res://assets/items/equipment/equipable/rings_type14_tier5.png,19.79,49.47,74.2,178.09,19.79,59.36,9.89,29.68,0.0,0.0
6,rings_type15_tier5,Ring,res://assets/items/equipment/equipable/rings_type15_tier5.png,26.71,66.78,100.18,240.42,26.71,80.14,13.36,40.07,0.0,0.0
7,rings_type16_tier5,Ring,res://assets/items/equipment/equipable/rings_type16_tier5.png,36.06,90.16,135.24,324.57,36.06,108.19,18.03,54.1,0.0,0.0
8,rings_type17_tier5,Ring,res://assets/items/equipment/equipable/rings_type17_tier5.png,48.69,121.71,182.57,438.17,48.69,146.06,24.34,73.03,0.0,0.0
9,rings_type18_tier5,Ring,res://assets/items/equipment/equipable/rings_type18_tier5.png,65.73,164.31,246.47,591.53,65.73,197.18,32.86,98.59,0.0,0.0
10,rings_type19_tier5,Ring,res://assets/items/equipment/equipable/rings_type19_tier5.png,88.73,221.82,332.74,798.57,88.73,266.19,44.36,133.09,0.0,0.0
11,rings_type1_tier1,Ring,res://assets/items/equipment/equipable/rings_type1_tier1.png,0.4,1.0,1.5,3.6,0.4,1.2,0.2,0.6,0.0,0.0
12,rings_type1_tier2,Ring,res://assets/items/equipment/equipable/rings_type1_tier2.png,0.4,1.0,1.5,3.6,0.4,1.2,0.2,0.6,0.0,0.0
13,rings_type1_tier3,Ring,res://assets/items/equipment/equipable/rings_type1_tier3.png,0.4,1.0,1.5,3.6,0.4,1.2,0.2,0.6,0.0,0.0
14,rings_type1_tier4,Ring,res://assets/items/equipment/equipable/rings_type1_tier4.png,0.4,1.0,1.5,3.6,0.4,1.2,0.2,0.6,0.0,0.0
15,rings_type1_tier5,Ring,res://assets/items/equipment/equipable/rings_type1_tier5.png,0.4,1.0,1.5,3.6,0.4,1.2,0.2,0.6,0.0,0.0
16,rings_type20_tier5,Ring,res://assets/items/equipment/equipable/rings_type20_tier5.png,119.78,299.46,449.19,1078.06,119.78,359.35,59.89,179.68,0.0,0.0
17,rings_type2_tier1,Ring,res://assets/items/equipment/equipable/rings_type2_tier1.png,0.54,1.35,2.02,4.86,0.54,1.62,0.27,0.81,0.0,0.0
18,rings_type2_tier2,Ring,res://assets/items/equipment/equipable/rings_type2_tier2.png,0.54,1.35,2.02,4.86,0.54,1.62,0.27,0.81,0.0,0.0
19,rings_type2_tier3,Ring,res://assets/items/equipment/equipable/rings_type2_tier3.png,0.54,1.35,2.02,4.86,0.54,1.62,0.27,0.81,0.0,0.0
20,rings_type2_tier4,Ring,res://assets/items/equipment/equipable/rings_type2_tier4.png,0.54,1.35,2.02,4.86,0.54,1.62,0.27,0.81,0.0,0.0
